MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
159,1,0,0,153,180,163,21,0,0
160,0,3,3,180,111,114,0,5,8
161,0,2,3,180,36,11,0,4,11
162,3,4,5,105,40,23,13,5,17
163,0,0,3,180,180,80,0,0,14
164,1,0,0,125,202,180,20,0,0
165,2,2,8,160,145,6,11,7,9
166,3,1,1,70,152,32,4,19,20
167,0,5,5,180,144,13,0,6,12
168,0,0,3,180,180,25,0,0,12
169,0,2,3,189,72,74,0,3,6
170,1,0,0,95,180,180,1,0,0
171,0,1,2,180,24,131,0,4,9
172,0,2,4,180,53,76,0,26,7
173,0,1,0,180,176,180,0,4,0
174,0,0,1,180,180,93,0,0,17
175,3,6,1,109,7,126,9,4,2
176,0,2,0,180,155,157,0,12,0
177,1,1,5,127,41,90,8,13,5
178,5,4,4,110,132,21,6,8,4
179,4,8,4,120,17,6,12,9,7
180,8,9,9,140,15,4,2,6,3
181,0,0,1,180,180,112,0,0,19
182,0,9,5,180,37,107,0,4,6
183,0,0,1,180,180,60,0,0,10
184,0,2,7,180,9,15,0,8,7
185,0,3,6,180,14,1,0,8,9
186,0,0,1,180,180,120,0,0,7
187,0,0,1,180,180,107,0,0,5
188,1,0,0,162,180,180,9,0,0
189,0,1,4,180,169,100,0,4,6
190,3,4,4,69,20,24,1,3,5
191,0,3,0,180,99,180,0,12,0
192,0,0,4,180,180,28,0,0,8
193,4,6,5,140,53,26,7,9,3
194,0,2,3,180,156,19,0,5,6
195,0,0,1,180,180,91,0,0,35
196,0,4,0,180,27,180,0,11,0
197,0,2,2,180,41,108,0,10,3
198,1,2,0,154,114,180,4,4,0
199,0,0,1,180,180,130,0,0,16
200,0,3,5,180,65,48,0,8,13
201,0,4,6,180,39,6,0,7,9
202,0,3,8,180,82,51,0,4,6
203,4,5,8,22,1,4,4,5,8
204,0,0,1,180,180,98,0,0,29
205,0,1,7,180,77,10,0,0,8
206,2,1,4,146,128,26,3,11,9
207,1,4,5,169,79,3,4,3,6
208,0,1,1,180,42,26,0,12,12
209,6,2,4,4,13,1,4,18,14
210,2,4,4,65,4,10,7,12,13
211,3,3,4,132,78,6,5,2,9
212,1,1,5,127,162,22,5,6,6
213,0,2,5,180,91,14,0,7,10
214,0,0,3,180,180,12,0,0,11
215,3,2,7,93,16,10,11,7,5
216,0,0,3,180,180,55,0,0,14
217,0,0,1,180,180,138,0,0,6
218,5,3,6,29,2,1,6,4,9
219,0,3,4,180,82,16,0,3,6
220,4,7,5,53,10,5,7,7,9
221,2,1,5,95,156,1,6,4,2
222,0,0,6,180,180,55,0,0,2
223,4,2,2,102,49,127,5,3,8
224,2,0,0,41,180,180,5,0,0
225,0,0,1,180,180,111,0,0,8
226,0,0,6,180,180,2,0,0,6
227,0,0,3,180,180,27,0,0,5
228,0,0,4,180,180,29,0,0,4
229,0,0,2,180,180,105,0,0,7
230,0,1,3,180,127,116,0,4,6
231,2,2,8,101,66,89,7,4,2
232,3,1,3,30,134,10,7,3,4
233,3,3,0,117,18,180,3,4,0
234,0,4,2,180,7,71,0,6,3
235,1,3,6,5,8,38,2,4,4
236,2,3,3,72,1,8,7,4,4
237,6,0,1,118,180,142,3,0,1
238,1,1,3,158,88,1,5,1,16
239,3,3,2,57,29,59,14,12,13
240,2,1,1,141,171,141,18,0,2
241,3,2,4,108,40,32,6,7,6
242,0,3,0,180,118,180,0,3,0
243,2,8,7,69,12,8,6,3,3
244,3,6,3,126,11,6,4,4,3
245,0,7,1,180,32,109,0,5,2
246,0,5,7,180,38,39,0,8,4
247,2,5,7,114,8,11,8,7,4
248,0,7,5,180,67,88,0,3,5
249,5,8,6,101,21,89,10,3,3
250,4,11,9,143,6,5,2,4,5
251,2,3,5,67,5,8,16,7,5
252,0,0,6,180,180,59,0,0,3
253,2,3,6,27,14,8,6,4,2
254,2,5,3,40,3,7,1,5,11
255,0,2,3,180,72,51,0,7,10
256,1,1,5,170,172,71,4,2,2
257,2,7,4,116,7,36,14,10,5
258,2,6,3,135,24,3,10,6,3
259,0,4,0,180,34,180,0,3,0
260,0,5,1,180,44,52,0,4,6
261,0,1,2,180,78,108,0,5,6
262,3,2,0,126,97,180,1,4,0
263,0,5,4,180,9,7,0,8,4
264,0,3,3,180,72,98,0,2,3
265,0,3,0,180,9,180,0,2,0
266,0,4,10,180,77,33,0,6,3
267,0,2,9,180,9,18,0,2,4
268,5,2,5,55,4,2,4,6,5
269,0,0,2,180,180,103,0,0,4
270,7,5,3,90,21,59,5,10,5
271,0,10,5,180,42,74,0,7,5
272,1,2,3,163,163,32,11,6,13
273,3,3,2,98,54,25,4,3,2
274,2,8,3,134,3,15,3,3,4
275,0,2,4,180,74,93,0,4,2
276,0,2,0,180,66,180,0,7,0
277,0,0,1,180,180,124,0,0,4
278,7,8,10,106,9,6,3,5,4
279,0,5,0,0,147,180,0,2,0
280,10,7,12,41,19,2,5,5,3
281,4,8,0,129,39,180,4,2,0
282,0,2,1,180,140,108,0,2,23
283,1,8,0,114,79,180,2,3,0
284,0,11,8,195,30,40,0,2,3
285,0,6,2,180,20,12,0,2,5
286,0,3,0,180,146,180,0,5,0
287,0,1,1,180,102,140,0,18,3
288,4,5,0,81,30,180,5,5,0
289,0,1,5,180,158,38,0,2,2
290,0,1,8,180,150,48,0,2,1
291,0,0,3,180,180,6,0,0,1
292,1,0,17,128,180,9,7,0,2
293,2,3,5,164,19,17,5,9,6
294,0,0,6,180,180,74,0,0,5
295,0,8,4,180,15,62,0,3,2
296,0,1,1,180,177,139,0,4,4
297,4,3,14,73,8,1,3,4,3
298,0,0,9,180,180,12,0,0,2
299,0,1,5,180,56,50,0,17,10
300,0,0,1,180,180,135,0,0,9
301,0,6,3,180,96,24,0,3,12
302,3,6,9,79,67,15,5,4,2
303,2,4,7,159,43,5,7,14,10
304,0,2,2,180,122,130,0,5,2
305,0,0,2,180,180,116,0,0,3
306,0,4,2,180,116,68,0,3,7
307,0,4,12,180,44,20,0,3,2
308,2,3,7,147,60,10,3,5,4
309,0,3,9,180,27,3,0,10,5
310,1,2,8,163,95,53,9,11,7
311,0,0,0,180,180,180,0,0,0
312,0,0,0,180,180,180,0,0,0
313,0,0,0,180,180,180,0,0,0
314,0,0,0,180,180,180,0,0,0
315,0,0,0,180,180,180,0,0,0
316,0,0,0,180,180,180,0,0,0
317,0,0,0,180,180,180,0,0,0
318,0,0,0,180,180,180,0,0,0
319,0,0,0,180,180,180,0,0,0
320,0,0,0,180,180,180,0,0,0
321,0,0,0,180,180,180,0,0,0
322,0,0,0,180,180,180,0,0,0
323,0,0,0,180,180,180,0,0,0
324,0,0,0,180,180,180,0,0,0
325,0,0,0,180,180,180,0,0,0
326,0,0,0,180,180,180,0,0,0
327,0,0,0,180,180,180,0,0,0
328,0,0,0,180,180,180,0,0,0
329,0,0,0,180,180,180,0,0,0
330,0,0,0,180,180,180,0,0,0
331,0,0,0,180,180,180,0,0,0
332,0,0,0,180,180,180,0,0,0
333,0,0,0,180,180,180,0,0,0
334,0,0,0,180,180,180,0,0,0
335,0,0,0,180,180,180,0,0,0
336,0,0,0,180,180,180,0,0,0
337,0,0,0,180,180,180,0,0,0
338,0,0,0,180,180,180,0,0,0
339,0,0,0,180,180,180,0,0,0
340,0,0,0,180,180,180,0,0,0
341,0,0,0,180,180,180,0,0,0
342,0,0,0,180,180,180,0,0,0
343,0,0,0,180,180,180,0,0,0
344,0,0,0,180,180,180,0,0,0
345,0,0,0,180,180,180,0,0,0
346,0,0,0,180,180,180,0,0,0
347,0,0,0,180,180,180,0,0,0
348,0,0,0,180,180,180,0,0,0
349,0,0,0,180,180,180,0,0,0
350,0,0,0,180,180,180,0,0,0
351,0,0,0,180,180,180,0,0,0
352,0,0,0,180,180,180,0,0,0
353,0,0,0,180,180,180,0,0,0
354,0,0,0,180,180,180,0,0,0
355,0,0,0,180,180,180,0,0,0
356,0,0,0,180,180,180,0,0,0
357,0,0,0,180,180,180,0,0,0
358,0,0,0,180,180,180,0,0,0
359,0,0,0,180,180,180,0,0,0
360,0,0,0,180,180,180,0,0,0
361,0,0,0,180,180,180,0,0,0
362,0,0,0,180,180,180,0,0,0
363,0,0,0,180,180,180,0,0,0
